owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,transaction_obligated_amount,gross_outlay_amount_FYB_to_period_end,USSGL487200_downward_adj_prior_year_prepaid_undeliv_order_oblig,USSGL497200_downward_adj_of_prior_year_paid_deliv_orders_oblig,award_unique_key,award_id_piid,parent_award_id_piid,award_id_fain,award_id_uri,award_base_action_date,award_base_action_date_fiscal_year,award_latest_action_date,award_latest_action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,ordering_period_end_date,award_type_code,award_type,idv_type_code,idv_type,prime_award_base_transaction_description,awarding_agency_code,awarding_agency_name,awarding_subagency_code,awarding_subagency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,recipient_uei,recipient_duns,recipient_name,recipient_name_raw,recipient_parent_uei,recipient_parent_duns,recipient_parent_name,recipient_parent_name_raw,recipient_country,recipient_state,recipient_county,recipient_city,prime_award_summary_recipient_cd_original,prime_award_summary_recipient_cd_current,recipient_zip_code,primary_place_of_performance_country,primary_place_of_performance_state,primary_place_of_performance_county,prime_award_summary_place_of_performance_cd_original,prime_award_summary_place_of_performance_cd_current,primary_place_of_performance_zip_code,cfda_number,cfda_title,product_or_service_code,product_or_service_code_description,naics_code,naics_description,national_interest_action_code,national_interest_action,usaspending_permalink,last_modified_date
Environmental Protection Agency,Environmental Protection Agency,FY2023P08,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0004,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,-0.01,,,,,HTC71117DC003EPG17D00216,HTC71117DC003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0004,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,500000.00,,,,,,,304321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0004,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,12785.00,,,,,,,402120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P07,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0004,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,340000.00,,,,,,,402220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P07,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0004,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,700000.00,,,,,,,402320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P07,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0004,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,450000.00,,,,,,,402420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P07,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0004,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,211600.00,,,,,,,402520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P07,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0004,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,736100.00,,,,,,,402620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0004,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,100000.00,,,,,,,404120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0004,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,200000.00,,,,,,,408120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P07,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0004,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,153400.00,,,,,,,408120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P07,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0004,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,500000.00,,,,,,,408220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P07,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0004,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,420000.00,,,,,,,408320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0004,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,100000.00,,,,,,,408420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P07,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0004,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,25300.00,,,,,,,408420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P07,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0004,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,744453.00,,,,,,,615722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0006,CATEGORICAL GRANT:  POLLUTION CONTROL (SEC. 106),25.2,Other services from non-Federal sources,D,Q,,71724.00,,,,,1,EPC17045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P08,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0006,CATEGORICAL GRANT:  POLLUTION CONTROL (SEC. 106),41.0,"Grants, subsidies, and contributions",D,Q,,-0.50,,,,,EPC170450001,EPC17045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0006,CATEGORICAL GRANT:  POLLUTION CONTROL (SEC. 106),41.0,"Grants, subsidies, and contributions",D,Q,,123500.00,,,,,,,51807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0006,CATEGORICAL GRANT:  POLLUTION CONTROL (SEC. 106),41.0,"Grants, subsidies, and contributions",D,Q,,132300.00,,,,,,,793520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0006,CATEGORICAL GRANT:  POLLUTION CONTROL (SEC. 106),41.0,"Grants, subsidies, and contributions",D,Q,,60000.00,,,,,,,915619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P07,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0008,CATEGORICAL GRANT:  UNDERGROUND INJECTION CONTROL  (UIC),41.0,"Grants, subsidies, and contributions",D,Q,,181000.00,,,,,,,573323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0008,CATEGORICAL GRANT:  UNDERGROUND INJECTION CONTROL  (UIC),41.0,"Grants, subsidies, and contributions",D,Q,,286000.00,,,,,,,581423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0009,CATEGORICAL GRANT:  PESTICIDES PROGRAM IMPLEMENTATION,41.0,"Grants, subsidies, and contributions",D,Q,,41960.00,,,,,,,635123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0009,CATEGORICAL GRANT:  PESTICIDES PROGRAM IMPLEMENTATION,41.0,"Grants, subsidies, and contributions",D,Q,,30100.00,,,,,,,635222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P07,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0009,CATEGORICAL GRANT:  PESTICIDES PROGRAM IMPLEMENTATION,41.0,"Grants, subsidies, and contributions",D,Q,,-21230.88,,,,,,,635522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P07,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0009,CATEGORICAL GRANT:  PESTICIDES PROGRAM IMPLEMENTATION,41.0,"Grants, subsidies, and contributions",D,Q,,42760.00,,,,,,,635523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0009,CATEGORICAL GRANT:  PESTICIDES PROGRAM IMPLEMENTATION,41.0,"Grants, subsidies, and contributions",D,Q,,36797.00,,,,,,,665323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P07,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0011,CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE,41.0,"Grants, subsidies, and contributions",D,Q,,942155.00,,,,,,,323313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P07,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0011,CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE,41.0,"Grants, subsidies, and contributions",D,Q,,1301670.00,,,,,,,408923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0011,CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE,41.0,"Grants, subsidies, and contributions",D,Q,,1889393.00,,,,,,,571220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0011,CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE,41.0,"Grants, subsidies, and contributions",D,Q,,3000000.00,,,,,,,936321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P07,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0012,CATEGORICAL GRANT:  PESTICIDES ENFORCEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,-132238.19,,,,,,,635522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P07,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0012,CATEGORICAL GRANT:  PESTICIDES ENFORCEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,58672.00,,,,,,,635523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0021,CATEGORICAL GRANT:  ENVIRONMENTAL INFORMATION,41.0,"Grants, subsidies, and contributions",D,Q,,,-1806.57,,,,,,83306501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0080,INFRASTRUCTURE ASSISTANCE:  CLEAN WATER SRF,41.0,"Grants, subsidies, and contributions",D,Q,,,2631726.15,,,,,,10000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0080,INFRASTRUCTURE ASSISTANCE:  CLEAN WATER SRF,41.0,"Grants, subsidies, and contributions",D,Q,,,39057000.00,,,,,,12000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0080,INFRASTRUCTURE ASSISTANCE:  CLEAN WATER SRF,41.0,"Grants, subsidies, and contributions",D,Q,,,19563000.00,,,,,,13000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0080,INFRASTRUCTURE ASSISTANCE:  CLEAN WATER SRF,41.0,"Grants, subsidies, and contributions",D,Q,,,12306000.00,,,,,,15000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0080,INFRASTRUCTURE ASSISTANCE:  CLEAN WATER SRF,41.0,"Grants, subsidies, and contributions",D,Q,,,362374.00,,,,,,16000121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0080,INFRASTRUCTURE ASSISTANCE:  CLEAN WATER SRF,41.0,"Grants, subsidies, and contributions",D,Q,,,5453760.00,,,,,,16000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0080,INFRASTRUCTURE ASSISTANCE:  CLEAN WATER SRF,41.0,"Grants, subsidies, and contributions",D,Q,,149210.00,,,,,,,344119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
