owning_agency_name,reporting_agency_name,submission_period,agency_identifier_name,budget_function,budget_subfunction,federal_account_symbol,federal_account_name,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,obligations_incurred,obligations_undelivered_orders_unpaid_total,obligations_undelivered_orders_unpaid_total_FYB,USSGL480100_undelivered_orders_obligations_unpaid,USSGL480100_undelivered_orders_obligations_unpaid_FYB,USSGL488100_upward_adj_prior_year_undeliv_orders_oblig_unpaid,obligations_delivered_orders_unpaid_total,obligations_delivered_orders_unpaid_total_FYB,USSGL490100_delivered_orders_obligations_unpaid,USSGL490100_delivered_orders_obligations_unpaid_FYB,USSGL498100_upward_adj_of_prior_year_deliv_orders_oblig_unpaid,gross_outlay_amount_FYB_to_period_end,gross_outlay_amount_FYB,gross_outlays_undelivered_orders_prepaid_total,gross_outlays_undelivered_orders_prepaid_total_FYB,USSGL480200_undelivered_orders_obligations_prepaid_advanced,USSGL480200_undelivered_orders_obligations_prepaid_advanced_FYB,USSGL488200_upward_adj_prior_year_undeliv_orders_oblig_prepaid,gross_outlays_delivered_orders_paid_total,gross_outlays_delivered_orders_paid_total_FYB,USSGL490200_delivered_orders_obligations_paid,USSGL490800_authority_outlayed_not_yet_disbursed,USSGL490800_authority_outlayed_not_yet_disbursed_FYB,USSGL498200_upward_adj_of_prior_year_deliv_orders_oblig_paid,deobligations_or_recoveries_or_refunds_from_prior_year,USSGL487100_downward_adj_prior_year_unpaid_undeliv_orders_oblig,USSGL497100_downward_adj_prior_year_unpaid_deliv_orders_oblig,USSGL487200_downward_adj_prior_year_prepaid_undeliv_order_oblig,USSGL497200_downward_adj_of_prior_year_paid_deliv_orders_oblig,USSGL483100_undelivered_orders_obligations_transferred_unpaid,USSGL493100_delivered_orders_obligations_transferred_unpaid,USSGL483200_undeliv_orders_oblig_transferred_prepaid_advanced,last_modified_date
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,23.3,"Communications, utilities, and miscellaneous charges",R,Q,,0.00,5727.46,5727.46,5727.46,5727.46,0.00,-1892.96,-1892.96,-1892.96,-1892.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,24.0,Printing and reproduction,D,Q,,0.00,-21084.91,-21084.91,-21084.91,-21084.91,0.00,-993.29,-993.29,-993.29,-993.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,24.0,Printing and reproduction,R,Q,,0.00,1119.65,1119.65,1119.65,1119.65,0.00,-2321.45,-2321.45,-2321.45,-2321.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,25.1,Advisory and assistance services,D,Q,,0.00,1538364.17,1538364.17,1538364.17,1538364.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,268082.23,268082.23,268082.23,268082.23,268082.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,25.1,Advisory and assistance services,R,Q,,0.00,50207.09,50207.09,50207.09,50207.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,25.2,Other services from non-Federal sources,D,K,United States-Mexico-Canada Agreement Implementation Act,0.00,1689009.57,1689009.57,1689009.57,1689009.57,0.00,993.31,993.31,993.31,993.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,25.2,Other services from non-Federal sources,D,Q,,0.00,-2254916.15,-2254916.15,-2254916.15,-2254916.15,0.00,798126.91,798126.91,798126.91,798126.91,0.00,0.00,-998315.33,-998315.33,-998315.33,-998315.33,-998315.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,25.2,Other services from non-Federal sources,R,Q,,0.00,3318710.63,3318710.63,3318710.63,3318710.63,0.00,-1309998.41,-1309998.41,-1309998.41,-1309998.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,25.3,Other goods and services from Federal sources,D,E,"Additional Supplemental Appropriations for Disaster Relief Act, 2019",0.00,140250.00,140250.00,140250.00,140250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,25.3,Other goods and services from Federal sources,D,Q,,0.00,216328698.10,216328698.10,216328698.10,216328698.10,0.00,1031817.75,1031817.75,1031817.75,1031817.75,0.00,0.00,-220786373.90,-220786373.90,-220786373.90,-220786373.90,-220786373.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,25.3,Other goods and services from Federal sources,R,Q,,0.00,15828266.35,15828266.35,15828266.35,15828266.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,25.4,Operation and maintenance of facilities,D,Q,,0.00,-2648.20,-2648.20,-2648.20,-2648.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,25.5,Research and development contracts,D,Q,,0.00,-8782.08,-8782.08,-8782.08,-8782.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,25.5,Research and development contracts,R,Q,,0.00,-144.20,-144.20,-144.20,-144.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,25.7,Operation and maintenance of equipment,D,Q,,0.00,-28405.72,-28405.72,-28405.72,-28405.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,25.7,Operation and maintenance of equipment,R,Q,,0.00,91951.12,91951.12,91951.12,91951.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,26.0,Supplies and materials,D,Q,,0.00,-7426.90,-7426.90,-7426.90,-7426.90,0.00,-1162.72,-1162.72,-1162.72,-1162.72,0.00,0.00,-4801.00,-4801.00,-4801.00,-4801.00,-4801.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,26.0,Supplies and materials,R,Q,,0.00,-884.84,-884.84,-884.84,-884.84,0.00,-6.16,-6.16,-6.16,-6.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,31.0,Equipment,D,Q,,0.00,-1797703.17,-1797703.17,-1797703.17,-1797703.17,0.00,-8571.43,-8571.43,-8571.43,-8571.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,31.0,Equipment,R,Q,,0.00,5450.00,5450.00,5450.00,5450.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,32.0,Land and structures,D,Q,,0.00,-2343.12,-2343.12,-2343.12,-2343.12,0.00,2343.12,2343.12,2343.12,2343.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,41.0,"Grants, subsidies, and contributions",D,C,Bipartisan Budget Act of 2018,0.00,15284751.00,15284751.00,15284751.00,15284751.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,41.0,"Grants, subsidies, and contributions",D,E,"Additional Supplemental Appropriations for Disaster Relief Act, 2019",0.00,326088428.50,326088428.50,326088428.50,326088428.50,0.00,3061.59,3061.59,3061.59,3061.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,41.0,"Grants, subsidies, and contributions",D,Q,,-20034.00,-2979382780.00,-2979382780.00,-2979382780.00,-2979382780.00,0.00,-92792660.52,-92792660.52,-92792660.52,-92792660.52,0.00,-20034.00,-8176851.35,-8176851.35,-8176851.35,-8176851.35,-8176851.35,0.00,-20034.00,0.00,-20034.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0000,UNKNOWN,41.0,"Grants, subsidies, and contributions",R,Q,,0.00,898269595.30,898269595.30,898269595.30,898269595.30,0.00,-180219.14,-180219.14,-180219.14,-180219.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0001,CATEGORICAL GRANT:  NONPOINT SOURCE (SEC. 319),25.2,Other services from non-Federal sources,D,Q,,0.00,8252.27,27732.51,8252.27,27732.51,0.00,3890.00,3890.00,3890.00,2267.49,0.00,17857.73,0.00,0.00,0.00,0.00,0.00,0.00,17857.73,0.00,17857.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0001,CATEGORICAL GRANT:  NONPOINT SOURCE (SEC. 319),41.0,"Grants, subsidies, and contributions",D,Q,,48361265.00,-46291313.46,18587797.71,-46291566.56,18587797.71,253.10,2267489.89,2267489.89,2267489.89,1258976.63,0.00,112231862.90,0.00,0.00,0.00,0.00,0.00,0.00,112231862.90,0.00,112231862.90,0.00,0.00,0.00,-2441368.43,-2441368.43,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0003,CATEGORICAL GRANT:  PUBLIC WATER SYSTEM SUPERVISION (PWSS),24.0,Printing and reproduction,D,Q,,261.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,261.21,0.00,0.00,0.00,0.00,0.00,0.00,261.21,0.00,261.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0003,CATEGORICAL GRANT:  PUBLIC WATER SYSTEM SUPERVISION (PWSS),25.1,Advisory and assistance services,D,Q,,174541.95,-220443.66,-308664.29,-220443.68,-308664.29,0.02,0.00,0.00,0.00,0.00,0.00,86321.32,95900.44,58928.27,58928.27,58928.27,95900.44,0.00,123293.49,0.00,123293.49,0.00,0.00,0.00,-132440.47,-132440.47,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0003,CATEGORICAL GRANT:  PUBLIC WATER SYSTEM SUPERVISION (PWSS),25.2,Other services from non-Federal sources,D,Q,,4459553.58,1754435.88,1028668.62,1754435.88,1028668.62,0.00,198044.17,198044.17,198044.17,-21851.15,0.00,3513891.00,0.00,0.00,0.00,0.00,0.00,0.00,3513891.00,0.00,3513891.00,0.00,0.00,0.00,-104942.71,-104942.71,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0003,CATEGORICAL GRANT:  PUBLIC WATER SYSTEM SUPERVISION (PWSS),25.2,Other services from non-Federal sources,D,V,American Rescue Plan Act of 2021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0003,CATEGORICAL GRANT:  PUBLIC WATER SYSTEM SUPERVISION (PWSS),25.3,Other goods and services from Federal sources,D,Q,,50000.00,1717491.07,1686449.92,1717491.07,1686449.92,0.00,0.00,0.00,0.00,0.00,0.00,18958.85,-1778361.81,-2688077.09,-2688077.09,-2688077.09,-1778361.81,0.00,928674.13,0.00,928674.13,0.00,0.00,0.00,-76000.00,-76000.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
