"TRI Facility ID","Facility Name","Address","Chemical Name","Industry","Year","Prior Year Release *","Current Year Release *","Percent Change","Pollution Prevention Information (Activity Codes/Text/[Reduction])","P2 Report URL"
"17059MPRKSRD3RI","EMPIRE KOSHER POULTRY INC (NA)","247 EMPIRE DRIVE, MIFFLINTOWN,PA 17059","Chlorine","311615: Poultry Processing","2016","3,000.00","0","-100","Source Reduction: Installation of UV light system for Waste Water Treatment has eliminated the use of this chemical other than emergency use..","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=17059MPRKSRD3RI&ChemicalId=0007782505&ReportingYear=2016&DocCtrlNum=1316215190048&Opt=0"
"1580WWHTWV2852K","WWF OPERATING CO LLC (DANONE N.A. PUBLIC BENEFIT CORP)","2592 OKLAHOMA SALEM RD, DUBOIS,PA 15801","Nitrate compounds (water dissociable; reportable only when in aqueous solution)","311511: Fluid Milk Manufacturing","2021","2,746.60","0","-100","Source Reduction: S21: Optimized process conditions to increase efficiency","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=1580WWHTWV2852K&ChemicalId=N511&ReportingYear=2021&DocCtrlNum=1321220359830&Opt=0"
"56347CNTRLHWY71","CENTRAL BI-PRODUCTS (FARMERS UNION INDUSTRIES LLC)","25498 HIGHWAY 71 N, LONG PRAIRIE,MN 56347","Nitrate compounds (water dissociable; reportable only when in aqueous solution)","311613: Rendering and Meat Byproduct Processing","2019","2,562.70","0","-100","Source Reduction: W13: Improved maintenance scheduling, recordkeeping, or proceduresSource Reduction: W32: Improved procedures for loading, unloading, and transfer operations","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=56347CNTRLHWY71&ChemicalId=N511&ReportingYear=2019&DocCtrlNum=1319218314502&Opt=0"
"64836FRDSFHIGHW","AJINOMOTO FOODS N.A. (AJINOMOTO N.A. INC)","5691 S DAVINCI LN, CARTHAGE,MO 64836","Ammonia","311412: Frozen Specialty Food Manufacturing","2015","2,006.00","0","-100","Source Reduction: W13: Improved maintenance scheduling, recordkeeping, or procedures  Other Environmental Practices: General Environmental Management  - Constant visual daily monitoring of ammonia inventory in vessels and continually monitor piping and control banks for evidence of any leak issues or other concerns.","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=64836FRDSFHIGHW&ChemicalId=0007664417&ReportingYear=2015&DocCtrlNum=1315214462766&Opt=0"
"17557VCTRF403SO","TYSON POULTRY INC-NEW HOLLAND COMPLEX (TYSON FOODS INC)","403 S CUSTER AVE, NEW HOLLAND,PA 17557","Certain glycol ethers","311615: Poultry Processing","2021","1,200.00","0","-100","Source Reduction: S44: Other improvements to operating practices and training - When feasible, use cleaning agents that do not contain glycol ethers  Source Reduction: When feasible, use cleaning agents that do not contain glycol ethers","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=17557VCTRF403SO&ChemicalId=N230&ReportingYear=2021&DocCtrlNum=1321219818539&Opt=0"
"93212JGBSW710BA","JG BOSWELL CO OIL MILL (JG BOSWELL CO)","710 BAINUM AVE, CORCORAN,CA 93212","Cyclohexane","311224: Soybean and Other Oilseed Processing","2018","516.00","0","-100","Source Reduction: W41: Increased purity or raw materials[-100%] - When possible, purchase of solvent that does not contain this chemical. Methods to Identify SR Opportunities: T01 : INTERNAL POLLUTION PREVENTION OPPORTUNITY AUDIT(S) - When possible, purchase of solvent that does not contain this chemical.","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=93212JGBSW710BA&ChemicalId=0000110827&ReportingYear=2018&DocCtrlNum=1318216905846&Opt=0"
"22602HPHDX160HO","HP HOOD LLC (HP HOOD LLC)","160 HOOD WAY, WINCHESTER,VA 22602","Peracetic acid","311511: Fluid Milk Manufacturing","2017","500.00","0","-100","Source Reduction: Source Reduction  - Concern that product quality may decline as a result of source reduction.","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=22602HPHDX160HO&ChemicalId=0000079210&ReportingYear=2017&DocCtrlNum=1317216104822&Opt=0"
"68107NRTHR3435G","JBS-OMAHA (JBS USA FOOD CO)","3435 EDWARD BABE GOMEZ AVE, OMAHA,NE 68107","Peracetic acid","311611: Animal (except Poultry) Slaughtering","2021","500.00","0","-100","Source Reduction: S23: Implemented new technology, technique, or process - We stopped using PAA in one of our processes. Methods to Identify SR Opportunities: T11 : OTHER - Stopped using the chemical in one of the facility processes.   Source Reduction: We stopped using PAA in one of our processes.","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=68107NRTHR3435G&ChemicalId=0000079210&ReportingYear=2021&DocCtrlNum=1321220370720&Opt=0"
"8519WDSYBR752WA","DAISY BRAND (DAISY BRAND LLC)","752 W ASH AVE, CASA GRANDE,AZ 85193","Nitrate compounds (water dissociable; reportable only when in aqueous solution)","311511: Fluid Milk Manufacturing","2019","477.00","0","-100","Source Reduction: W58: Other process modifications[-0-4%] - Reduced cleaning chemical strength slightly, reduced chemical usage in the following wash. Methods to Identify SR Opportunities: T06 : EMPLOYEE RECOMMENDATION (UNDER A FORMAL COMPANY PROGRAM) - Sanitation operator recommended lower strength for cleaning chemical strength.  This directly affected the reporting chemical usage, allowing it to reduce.Methods to Identify SR Opportunities: T10 : VENDOR ASSISTANCE - Ecolab helped verify the lower cleaning strengths were still sufficient, leading us to reduce usage.","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=8519WDSYBR752WA&ChemicalId=N511&ReportingYear=2019&DocCtrlNum=1319218562508&Opt=0"
"6049WSRTGF771WC","SARATOGA FOOD SPECIALTIES (NA)","771 W CROSSROADS PKWY, BOLINGBROOK,IL 60490","Sodium nitrite","311942: Spice and Extract Manufacturing","2014","400.00","0","-100","Source Reduction: Paying attention to our original material handling and improved hygiene in production area.Source Reduction: Ways P2 Was Incorporated in Original Process Design  - Paying attention to our original material handling and improved hygiene in production area.","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=6049WSRTGF771WC&ChemicalId=0007632000&ReportingYear=2014&DocCtrlNum=1314212551358&Opt=0"
"17042MRRYS15THA","MURRY'S INC (NA)","1501 WILLOW ST LEBANON, LEBANON,PA 17046","Ammonia","311412: Frozen Specialty Food Manufacturing","2018","300.00","0","-100","Source Reduction: W52: Modified equipment, layout, or piping","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=17042MRRYS15THA&ChemicalId=0007664417&ReportingYear=2018&DocCtrlNum=1318218381325&Opt=0"
"98944DRGLD400AL","DARIGOLD - SUNNYSIDE (NORTHWEST DAIRY ASSOC)","400 ALEXANDER RD, SUNNYSIDE,WA 98944","Nitric acid","311513: Cheese Manufacturing","2013","260.00","0","-100","Source Reduction: W58: Other process modifications  Source Reduction: Chemical efficiencies were maximized for time and duration during process cleaning. Cleaning chemical strengths were observed and maximized.","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=98944DRGLD400AL&ChemicalId=0007697372&ReportingYear=2013&DocCtrlNum=1313211610581&Opt=0"
"00705TRCSNRD14K","TO-RICOS LTD (JBS USA FOOD CO)","RD 14 KM 48 BO ASOMANTE, AIBONITO,PR 00705","Nitrate compounds (water dissociable; reportable only when in aqueous solution)","311615: Poultry Processing","2021","132.00","0","-100","Source Reduction: S41: Improved scheduling, record keeping, or procedures for operations, cleaning, and maintenance[-0-4%] - Improve water consumption and Chamical usage to treat water Methods to Identify SR Opportunities: T04 : PARTICIPATIVE TEAM MANAGEMENT - Provide team meetings to verify and share any ideas at the site.   Source Reduction: Improve water consumption and Chamical usage to treat water","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=00705TRCSNRD14K&ChemicalId=N511&ReportingYear=2021&DocCtrlNum=1321219698382&Opt=0"
"4601WNSTS431W7X","NESTLE USA INC-ANDERSON (NESTLE USA INC)","4301 W 73RD ST, ANDERSON,IN 46013","Nitrate compounds (water dissociable; reportable only when in aqueous solution)","311511: Fluid Milk Manufacturing","2018","60.60","0","-100","Source Reduction: W19: Other changes in operating practices - Longer run times in between cleaning cycles. Methods to Identify SR Opportunities: T11 : OTHER - Product validations","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=4601WNSTS431W7X&ChemicalId=N511&ReportingYear=2018&DocCtrlNum=1318216809855&Opt=0"
"62301PRRFR415N2","PRAIRIE FARMS DAIRY INC (PRAIRIE FARMS DAIRY INC)","415 N 24TH ST, QUINCY,IL 62301","Peracetic acid","311511: Fluid Milk Manufacturing","2017","30.00","0","-100","Source Reduction: W42: Substituted raw materials - Peracetic acid is the base raw material in some of our cleaning/ sanitizing chemicals. Previously we were using EcoLab Oxonia Active which contained 27 lbs of peracetic acid per unit, and this year we switched to Synergex which only contains 12.2 lbs of peracetic acid. Resulting in a significant decrease in peracetic acid used. Methods to Identify SR Opportunities: T10 : VENDOR ASSISTANCE - EcoLab recommendation.","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=62301PRRFR415N2&ChemicalId=0000079210&ReportingYear=2017&DocCtrlNum=1317215948605&Opt=0"
"83653SMPLT4912E","SORRENTO LACTALIS INC. (LACTALIS AMERICAN GROUP INC)","4912 E. FRANKLIN RD, NAMPA,ID 83687","Nitric acid","311513: Cheese Manufacturing","2019","20.00","0","-100","Source Reduction: W19: Other changes in operating practices[-0-4%] - NoneSource Reduction: W22: Began to test outdated material - continue to use if still effective[-0-4%] - NoneSource Reduction: W41: Increased purity or raw materials[-0-4%] - None Methods to Identify SR Opportunities: T10 : VENDOR ASSISTANCE - NoneMethods to Identify SR Opportunities: T01 : INTERNAL POLLUTION PREVENTION OPPORTUNITY AUDIT(S) - NoneMethods to Identify SR Opportunities: T04 : PARTICIPATIVE TEAM MANAGEMENT - None","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=83653SMPLT4912E&ChemicalId=0007697372&ReportingYear=2019&DocCtrlNum=1319218247207&Opt=0"
"45162THHRT5374L","THE HARTZ MOUNTAIN CORP (THE HARTZ MOUNTAIN CORP)","5374 LONG SPURLING RD, PLEASANT PLAIN,OH 45162","Phenothrin","311119: Other Animal Food Manufacturing","2020","20.00","0","-100","Source Reduction: W52: Modified equipment, layout, or piping[-100%] - New filling equipment eliminated fugitive and air emissions Methods to Identify SR Opportunities: T10 : VENDOR ASSISTANCE - Ultrasonic sealing system eliminated a hot air sealing system preventing the air emissions","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=45162THHRT5374L&ChemicalId=0026002802&ReportingYear=2020&DocCtrlNum=1320219165141&Opt=0"
"98264DRGLD8424D","DARIGOLD - LYNDEN (NORTHWEST DAIRY ASSOC)","8424 DEPOT RD, LYNDEN,WA 98264","Nitric acid","311514: Dry, Condensed, and Evaporated Dairy Product Manufacturing","2013","15.00","0","-100","Source Reduction: W84: Developed a new chemical product to replace previous chemical product  Source Reduction: Changing to a different clean-in-place (CIP) acid chemical product, with the assistance of our vendor, allowed for a substantial decrease of nitric acid in our waste stream requiring on-site pretreatment (neutralization).","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=98264DRGLD8424D&ChemicalId=0007697372&ReportingYear=2013&DocCtrlNum=1313211338278&Opt=0"
"07114RHSKR131MA","AAK USA INC PORT NEWARK (AARHUSKARLSHAMN USA)","131 MARSH ST, NEWARK,NJ 07114","Ammonia","311225: Fats and Oils Refining and Blending","2015","10.00","0","-100","Source Reduction: Ammonia is being used as a non-contact refrigerant to remove moisture from certain processes.  Within a closed system, the ammonia is compressed, condensed and cooled in a shell and tube exchanger using cooling tower water.","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=07114RHSKR131MA&ChemicalId=0007664417&ReportingYear=2015&DocCtrlNum=1315213967639&Opt=0"
"64836FRDSFHIGHW","AJINOMOTO FOODS N.A. (AJINOMOTO N.A. INC)","5691 S DAVINCI LN, CARTHAGE,MO 64836","Ammonia","311412: Frozen Specialty Food Manufacturing","2019","10.00","0","-100","Source Reduction: W13: Improved maintenance scheduling, recordkeeping, or procedures[-5-14%] - Improved inspections as a part of the PSM program. Methods to Identify SR Opportunities: T01 : INTERNAL POLLUTION PREVENTION OPPORTUNITY AUDIT(S) - Continued ongoing hourly checks of the ammonia refrigeration system , and addressing any potential concerns.Methods to Identify SR Opportunities: T10 : VENDOR ASSISTANCE - Worked with refrigeration contractor and replaced older refrigeration vessels and piping.Methods to Identify SR Opportunities: T04 : PARTICIPATIVE TEAM MANAGEMENT - Plant Engineer and refrigeration mechanic cover weekend and offday checks of the ammonia refrigeration system","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=64836FRDSFHIGHW&ChemicalId=0007664417&ReportingYear=2019&DocCtrlNum=1319218565149&Opt=0"
"17033HRSHY1033O","HERSHEY CO WEST HERSHEY PLANT (HERSHEY CO)","1033 OLD W CHOCOLATE AVE, HERSHEY,PA 17033","Nitric acid","311352: Confectionery Manufacturing from Purchased Chocolate","2013","10.00","0","-100","Source Reduction: W43: Substituted a feedstock or reagent chemical with a different chemical","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=17033HRSHY1033O&ChemicalId=0007697372&ReportingYear=2013&DocCtrlNum=1313211556992&Opt=0"
"47541HLLND30031","HOLLAND DAIRY (PRAIRIE FARMS)","300 MAIN ST, HOLLAND,IN 47541","Nitric acid","311511: Fluid Milk Manufacturing","2014","10.00","0","-100","Source Reduction: W14: Changed production schedule to minimize equipment and feedstock changeovers","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=47541HLLND30031&ChemicalId=0007697372&ReportingYear=2014&DocCtrlNum=1314212342974&Opt=0"
"14739FRNDSCOUNT","SAPUTO CHEESE USA INC. (SAPUTO INC.)","6701 COUNTY RD 20, FRIENDSHIP,NY 14739","Nitric acid","311511: Fluid Milk Manufacturing","2014","10.00","0","-100","Source Reduction: W14: Changed production schedule to minimize equipment and feedstock changeoversSource Reduction: W32: Improved procedures for loading, unloading, and transfer operationsSource Reduction: W52: Modified equipment, layout, or piping","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=14739FRNDSCOUNT&ChemicalId=0007697372&ReportingYear=2014&DocCtrlNum=1314212724330&Opt=0"
"80701DRYFR2301E","DAIRY FARMERS OF AMERICA INC (DAIRY FARMERS OF AMERICA INC)","2301 E BIJOU AVE, FORT MORGAN,CO 80701","Nitric acid","311514: Dry, Condensed, and Evaporated Dairy Product Manufacturing","2013","9.41","0","-100","Source Reduction: W29: Other changes in inventory control","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=80701DRYFR2301E&ChemicalId=0007697372&ReportingYear=2013&DocCtrlNum=1313211077957&Opt=0"
"66618THQKR2200N","BIG HEART PET BRANDS (THE JM SMUCKER CO)","2200 NW BRICKYARD RD, TOPEKA,KS 66618","Zinc compounds","311111: Dog and Cat Food Manufacturing","2021","5.00","0","-100","Source Reduction: S11: Reformulated or developed new product line[-25-49%] - A brand was discontinued during the year, modifying and decreasing ingredients used for that brand. Fewer ingredients using zinc are being used each year. Methods to Identify SR Opportunities: T11 : OTHER - % of formulation for products produced has decreased for zinc related ingredientsMethods to Identify SR Opportunities: T04 : PARTICIPATIVE TEAM MANAGEMENT - Continued efforts to minimize product losses due to scrap   Source Reduction: A brand was discontinued during the year, modifying and decreasing ingredients used for that brand. Fewer ingredients using zinc are being used each year.Other Environmental Practices: General Environmental Management  - drastic reduction to water waste and discharge in the facility and improved processes for water treatment on site","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=66618THQKR2200N&ChemicalId=N982&ReportingYear=2021&DocCtrlNum=1321219792557&Opt=0"
"62301PRRFR415N2","PRAIRIE FARMS DAIRY INC (PRAIRIE FARMS DAIRY INC)","415 N 24TH ST, QUINCY,IL 62301","Nitric acid","311511: Fluid Milk Manufacturing","2017","5.00","0","-100","Source Reduction: W42: Substituted raw materials[-25-49%] - Citric Acid is used for cleaning and sanitizing purposes. The cleaning chemical used in previous years was EcoLab AC-55 which has 217.9 lbs per unit that we purchase. We began using a new EcoLab chemical to replace the AC-55, which is EcoLab Envirocid Plus which only have 57.1 lbs of nitric acid per unit. Resulting in a decrease of overall nitric acid use. Methods to Identify SR Opportunities: T10 : VENDOR ASSISTANCE - EcoLab recommendation","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=62301PRRFR415N2&ChemicalId=0007697372&ReportingYear=2017&DocCtrlNum=1317215948593&Opt=0"
